,Cement (kg/m3),Fine aggregate/crushed sand (kg/m3),Coarse aggregate (kg/m3),water (kg/m3),Superplasticizer (SP) (kg/m3),fly ash (kg/m3),BFRP (Fiber Content),Fiber diameter (�m),Fiber length (mm),curing time (day),Compressive strength (Mpa),Fiber Elastic Modulus (Gpa),Fiber Density (g/cm3),splitting tensile strength [MPa]
,420,656,1069,210,2.4,60,1,15,30,7,41.8,90,2.65,3.4
,420,656,1069,210,2.4,60,1.5,15,30,7,40.3,90,2.65,3.7
,420,656,1069,210,2.4,60,2,15,30,7,38.6,90,2.65,3.4
,420,656,1069,210,2.4,60,2.5,15,30,7,30.6,90,2.65,3.6
,420,656,1069,210,2.4,60,3,15,30,7,26.4,90,2.65,3.3
,420,656,1069,210,2.4,60,3.5,15,30,7,34.3,90,2.65,4.4
,420,656,1069,210,2.4,60,0,0,0,28,49.4,90,2.65,4
,420,656,1069,210,2.4,60,1,15,30,28,55,90,2.65,4.7
,420,656,1069,210,2.4,60,1.5,15,30,28,52.4,90,2.65,4.4
,420,656,1069,210,2.4,60,2,15,30,28,48.3,90,2.65,3.9
,420,656,1069,210,2.4,60,2.5,15,30,28,46.8,90,2.65,4.8
,420,656,1069,210,2.4,60,3,15,30,28,44.1,90,2.65,4.9
,420,656,1069,210,2.4,60,3.5,15,30,28,45.4,90,2.65,4.6
Ayub et al. [7],450,670,1100,180,0,0,0,0,0,28,71.87,102,2.72,5.16
,450,670,1100,180,0,0,1,18,25,28,73.52,102,2.72,5.16
,450,670,1100,180,0,0,2,18,25,28,74.16,102,2.72,5.4
,450,670,1100,180,0,0,3,18,25,28,65.08,102,2.72,6
�elik and Bing�l [8],425,816,802,225,2,75,0,16,24,28,45.22,88,2.8,3.6
,425,816,802,225,2,75,0.2,16,24,28,46.32,88,2.8,3.91
,425,816,802,225,2,75,0.3,16,24,28,46.84,88,2.8,3.95
,425,816,802,225,2,75,0.5,16,24,28,47.12,88,2.8,4.02
Jalasutram et al. [10],375,692,1207,169,0,0,0,13,12.7,28,38.4,89,2.63,2.9
,375,692,1207,169,0,0,0.5,13,12.7,28,38.4,89,2.63,3
,375,692,1207,169,0,0,1,13,12.7,28,37.4,89,2.63,3.3
,375,692,1207,169,0,0,1.5,13,12.7,28,37.6,89,2.63,3.1
,375,692,1207,169,0,0,2,13,12.7,28,37.3,89,2.63,3.1
Kizilkanat et al. [11],360,0,931,180,3.6,40,0.25,16,12,28,63,89,2.8,3.3
,360,0,931,180,5.2,40,0.5,16,12,28,67,89,2.8,3.4
,360,0,931,180,6.4,40,0.75,16,12,28,66,89,2.8,3.9
,360,0,931,180,7.6,40,1,16,12,28,67,89,2.8,4.2
G�nayd?n and G��l�er [12],371,668,444,204,0,0,0.01,16,24,7,16,86,2.7,1.46
,371,668,444,204,0,0,0.01,16,24,28,23,86,2.7,1.91
Li et al. [13],454,519,1209,168,0,0,0,15,20,7,42.5,95,2.65,2.75
,454,519,1209,168,0,0,0.05,15,20,7,40,95,2.65,3.3
,454,519,1209,168,0,0,0.1,15,20,7,37.5,95,2.65,3
,454,519,1209,168,0,0,0.15,15,20,7,36,95,2.65,2.9
,454,519,1209,168,0,0,0.2,15,20,7,34,95,2.65,3
,454,519,1209,168,0,0,0.25,15,20,7,32,95,2.65,3
,454,519,1209,168,0,0,0.3,15,20,7,31,95,2.65,3
,454,519,1209,168,0,0,0,15,20,28,53,95,2.65,3.5
,454,519,1209,168,0,0,0.05,15,20,28,47.5,95,2.65,3.4
,454,519,1209,168,0,0,0.1,15,20,28,45,95,2.65,3.2
,454,519,1209,168,0,0,0.15,15,20,28,44.5,95,2.65,3.2
,454,519,1209,168,0,0,0.2,15,20,28,44.4,95,2.65,3.2
,454,519,1209,168,0,0,0.25,15,20,28,42,95,2.65,3.2
,454,519,1209,168,0,0,0.3,15,20,28,40,95,2.65,3.2
Erdo?an [14],314,1572,1417,180,0,265,0,16,12,28,63.4,95,2.8,2.98
,314,1572,1417,180,0,265,0.25,16,12,28,63.1,89,2.8,3.33
,314,1572,1417,180,0,265,0.5,16,12,28,66.6,89,2.8,3.33
,314,1572,1417,180,0,265,0.75,16,12,28,66.1,89,2.8,3.6
,314,1572,1417,180,0,265,1,16,12,28,66.5,89,2.8,4.18
Ate?li [16],450,0,0,225,2.4,0,0,15,24,7,19.4,89,2.8,1.1
,450,0,0,225,2.4,0,0.3,15,24,7,21.8,89,2.8,1.16
,450,0,0,225,2.4,0,0.4,15,24,7,20.1,89,2.8,1.25
,450,0,0,225,2.4,0,0.5,15,24,7,18.7,89,2.8,1.32
,450,0,0,225,2.4,0,0,15,24,28,28.7,89,2.8,1.92
,450,0,0,225,2.4,0,0.3,15,24,28,32.4,89,2.8,2.08
,450,0,0,225,2.4,0,0.4,15,24,28,29.9,89,2.8,2.24
,450,0,0,225,2.4,0,0.5,15,24,28,27.1,89,2.8,2.41
G�ltekin [18],300,1095,520.6,145,0,200,0.67,17,6,28,62.76,88,2.8,3.89
,300,1095,520.6,145,0,200,0.67,17,12,28,62.02,88,2.8,3.62
,300,1095,520.6,145,0,200,0.67,17,24,28,62.64,88,2.8,3.48
,300,1095,520.6,145,0,200,1.34,17,6,28,65,88,2.8,3.93
,300,1095,520.6,145,0,200,1.34,17,12,28,60.99,88,2.8,3.58
,300,1095,520.6,145,0,200,1.34,17,24,28,62.4,88,2.8,3.65
Cao [21],445,605,1155,210,0,0,0,15,12,28,42.3,102,2.65,3.2
,445,605,1155,210,0,0,0.1,15,12,28,43.4,102,2.65,3.4
,445,605,1155,210,0,0,0.2,15,12,28,45.2,102,2.65,3.8
,445,605,1155,210,0,0,0.3,15,12,28,46.5,102,2.65,4.1
,445,605,1155,210,0,0,0.4,15,12,28,46.2,102,2.65,4.4
,445,605,1155,210,0,0,0.5,15,12,28,45.7,102,2.65,4.2
Lipatov et al. [22],500,1500,0,250,0,0,0,11,12,28,33.1,90,2.7,0.7
,500,1500,0,250,0,0,0.5,11,12,28,27.7,90,2.7,0.8
Wei et al. [23],315,684,1117,185,0,79,0,11,0,28,27,99,2.64,3.1
,315,684,1114.36,185,0,79,0.1,11,3,28,32,99,2.64,3.4
,315,684,1114.36,185,0,79,0.1,11,6,28,33,99,2.64,3.35
,315,684,1114.36,185,0,79,0.1,11,9,28,31.9,99,2.64,3.7
,315,684,1111.72,185,0,79,0.2,11,3,28,32,99,2.64,3.7
,315,684,1111.72,185,0,79,0.2,11,6,28,33,99,2.64,3.8
,315,684,1111.72,185,0,79,0.2,11,9,28,31.8,99,2.64,3.6
,315,684,1109.08,185,0,79,0.3,11,3,28,23,99,2.64,2.5
,315,684,1109.08,185,0,79,0.3,11,6,28,32,99,2.64,3.2
,315,684,1109.08,185,0,79,0.3,11,9,28,25,99,2.64,3
